campo,generated_at,reference_date,date_forecast,horizon_days,days_in_future,mean_ndvi_forecast,ndvi_lower_90,ndvi_upper_90,conformal_margin,confidence,model_type,source
pascolo_6,2026-08-29T14:04:18.881043+02:00,2026-08-24,2026-08-31,7,2,0.5813,0.4429,0.7197,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-08-29T14:04:18.891354+02:00,2026-08-24,2026-09-07,14,9,0.6883,0.5439,0.8327,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-08-29T14:04:34.072480+02:00,2026-08-24,2026-08-25,1,-4,0.4898,0.3822,0.5974,0.1076,high,persistence,forecast-v1.1-hybrid
bianchi_campo,2026-08-29T14:04:34.080735+02:00,2026-08-24,2026-08-27,3,-2,0.4825,0.3723,0.5927,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-08-29T14:04:34.092075+02:00,2026-08-24,2026-08-31,7,2,0.4726,0.3341,0.611,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-08-29T14:04:34.102028+02:00,2026-08-24,2026-09-07,14,9,0.5154,0.371,0.6598,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-08-29T14:04:49.256731+02:00,2026-08-24,2026-08-25,1,-4,0.4401,0.3325,0.5477,0.1076,high,persistence,forecast-v1.1-hybrid
rossi_campo,2026-08-29T14:04:49.265380+02:00,2026-08-24,2026-08-27,3,-2,0.4041,0.2939,0.5143,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-08-29T14:04:49.276955+02:00,2026-08-24,2026-08-31,7,2,0.4241,0.2857,0.5625,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-08-29T14:04:49.287042+02:00,2026-08-24,2026-09-07,14,9,0.4467,0.3023,0.5911,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
